,date,nyc_ww_smooth_raw,nyc_hosp_smooth_raw,WW_lag1,WW_lag2,WW_lag3,Hosp_lag1,Hosp_lag2,Hosp_lag3,percent_complete_series,past_12_weeks_infections,past_16_weeks_infections,past_20_weeks_infections,delta_majority,omicron_majority
0,2021-01-15,8724096.872619066,9518.66666666667,,,,,,,0.4,3.4,3.6,3.8,0,0
1,2021-01-22,9246795.286547614,9616.66666666667,8724096.872619066,,,9518.66666666667,,,0.7,3.8,4.1,4.2,0,0
2,2021-01-29,9360049.922142852,9343.0,9246795.286547614,8724096.872619066,,9616.66666666667,9518.66666666667,,1.2,4.1,4.4,4.6,0,0
3,2021-02-05,10119669.444999995,8845.166666666668,9360049.922142852,9246795.286547614,8724096.872619066,9343.0,9616.66666666667,9518.66666666667,1.9,4.3,4.7,4.9,0,0
4,2021-02-12,10173231.23916666,8144.9999999999945,10119669.444999995,9360049.922142852,9246795.286547614,8845.166666666668,9343.0,9616.66666666667,3.2,4.5,5.0,5.2,0,0
5,2021-02-19,8726121.060238088,7425.3333333333285,10173231.23916666,10119669.444999995,9360049.922142852,8144.9999999999945,8845.166666666668,9343.0,4.7,4.6,5.3,5.5,0,0
6,2021-02-26,7540992.758809522,6618.33333333333,8726121.060238088,10173231.23916666,10119669.444999995,7425.3333333333285,8144.9999999999945,8845.166666666668,6.0,4.6,5.5,5.8,0,0
7,2021-03-05,7880036.398571434,6041.999999999999,7540992.758809522,8726121.060238088,10173231.23916666,6618.33333333333,7425.3333333333285,8144.9999999999945,7.4,4.6,5.6,6.1,0,0
8,2021-03-12,7997707.530952384,5624.8333333333285,7880036.398571434,7540992.758809522,8726121.060238088,6041.999999999999,6618.33333333333,7425.3333333333285,8.7,4.6,5.7,6.3,0,0
9,2021-03-19,7098261.5614285795,5414.666666666664,7997707.530952384,7880036.398571434,7540992.758809522,5624.8333333333285,6041.999999999999,6618.33333333333,10.7,4.7,5.9,6.6,0,0
10,2021-03-26,6224257.462619059,5327.33333333333,7098261.5614285795,7997707.530952384,7880036.398571434,5414.666666666664,5624.8333333333285,6041.999999999999,13.5,4.6,6.0,6.8,0,0
11,2021-04-02,6408501.175952382,5246.166666666668,6224257.462619059,7098261.5614285795,7997707.530952384,5327.33333333333,5414.666666666664,5624.8333333333285,17.0,4.4,6.0,7.0,0,0
12,2021-04-09,6228213.617619033,5079.500000000003,6408501.175952382,6224257.462619059,7098261.5614285795,5246.166666666668,5327.33333333333,5414.666666666664,20.1,4.2,5.9,7.0,0,0
13,2021-04-16,6178347.846904757,4775.499999999999,6228213.617619033,6408501.175952382,6224257.462619059,5079.500000000003,5246.166666666668,5327.33333333333,23.7,3.9,5.8,7.0,0,0
14,2021-04-23,4738712.126904758,4312.000000000003,6178347.846904757,6228213.617619033,6408501.175952382,4775.499999999999,5079.500000000003,5246.166666666668,26.7,3.6,5.5,6.9,0,0
15,2021-04-30,3949839.382142854,3735.8333333333317,4738712.126904758,6178347.846904757,6228213.617619033,4312.000000000003,4775.499999999999,5079.500000000003,30.4,3.4,5.1,6.7,0,0
16,2021-05-07,2771165.770476183,3095.333333333332,3949839.382142854,4738712.126904758,6178347.846904757,3735.8333333333317,4312.000000000003,4775.499999999999,34.0,3.1,4.7,6.4,0,0
17,2021-05-14,2263420.7517857137,2550.499999999999,2771165.770476183,3949839.382142854,4738712.126904758,3095.333333333332,3735.8333333333317,4312.000000000003,37.7,2.8,4.3,6.2,0,0
18,2021-05-21,1618121.3190476191,2129.5000000000005,2263420.7517857137,2771165.770476183,3949839.382142854,2550.499999999999,3095.333333333332,3735.8333333333317,40.6,2.5,3.9,5.8,0,0
19,2021-05-28,1179618.0132142855,1791.6666666666674,1618121.3190476191,2263420.7517857137,2771165.770476183,2129.5000000000005,2550.499999999999,3095.333333333332,42.6,2.2,3.6,5.3,0,0
20,2021-06-04,901818.980039683,1506.0,1179618.0132142855,1618121.3190476191,2263420.7517857137,1791.6666666666674,2129.5000000000005,2550.499999999999,44.3,2.0,3.2,4.8,0,0
21,2021-06-11,757671.8665293059,1263.0,901818.980039683,1179618.0132142855,1618121.3190476191,1506.0,1791.6666666666674,2129.5000000000005,46.4,1.6,2.9,4.4,0,0
22,2021-06-18,639962.5164102549,1067.5000000000002,757671.8665293059,901818.980039683,1179618.0132142855,1263.0,1506.0,1791.6666666666674,48.2,1.3,2.6,4.0,0,0
23,2021-06-25,680556.8402854092,907.333333333333,639962.5164102549,757671.8665293059,901818.980039683,1067.5000000000002,1263.0,1506.0,49.6,1.0,2.3,3.6,0,0
24,2021-07-02,741739.372605311,795.0000000000001,680556.8402854092,639962.5164102549,757671.8665293059,907.333333333333,1067.5000000000002,1263.0,51.0,0.7,2.0,3.3,1,0
25,2021-07-09,1123113.4437957883,750.6666666666667,741739.372605311,680556.8402854092,639962.5164102549,795.0000000000001,907.333333333333,1067.5000000000002,52.1,0.6,1.7,3.0,1,0
26,2021-07-16,1358609.068269229,775.0000000000002,1123113.4437957883,741739.372605311,680556.8402854092,750.6666666666667,795.0000000000001,907.333333333333,52.9,0.5,1.4,2.7,1,0
27,2021-07-23,1845119.5665430403,868.1666666666669,1358609.068269229,1123113.4437957883,741739.372605311,775.0000000000002,750.6666666666667,795.0000000000001,53.7,0.5,1.2,2.5,1,0
28,2021-07-30,2160916.1520589176,1049.5,1845119.5665430403,1358609.068269229,1123113.4437957883,868.1666666666669,775.0000000000002,750.6666666666667,54.4,0.5,1.0,2.3,1,0
29,2021-08-06,2928253.4199801576,1369.8333333333328,2160916.1520589176,1845119.5665430403,1358609.068269229,1049.5,868.1666666666669,775.0000000000002,55.2,0.6,1.0,2.1,1,0
30,2021-08-13,5125682.807539678,1788.9999999999993,2928253.4199801576,2160916.1520589176,1845119.5665430403,1369.8333333333328,1049.5,868.1666666666669,55.9,0.8,1.0,1.9,1,0
31,2021-08-20,5330855.942830699,2206.333333333334,5125682.807539678,2928253.4199801576,2160916.1520589176,1788.9999999999993,1369.8333333333328,1049.5,56.7,0.9,1.1,1.8,1,0
32,2021-08-27,5258452.687354497,2512.0,5330855.942830699,5125682.807539678,2928253.4199801576,2206.333333333334,1788.9999999999993,1369.8333333333328,57.6,1.0,1.2,1.7,1,0
33,2021-09-03,2859054.112202982,2685.000000000001,5258452.687354497,5330855.942830699,5125682.807539678,2512.0,2206.333333333334,1788.9999999999993,58.9,1.1,1.2,1.6,1,0
34,2021-09-10,2568338.906158009,2786.333333333333,2859054.112202982,5258452.687354497,5330855.942830699,2685.000000000001,2512.0,2206.333333333334,60.0,1.3,1.4,1.6,1,0
35,2021-09-17,2479824.949134197,2810.666666666667,2568338.906158009,2859054.112202982,5258452.687354497,2786.333333333333,2685.000000000001,2512.0,61.1,1.4,1.5,1.7,1,0
36,2021-09-24,2814401.6638095216,2798.6666666666665,2479824.949134197,2568338.906158009,2859054.112202982,2810.666666666667,2786.333333333333,2685.000000000001,62.2,1.5,1.6,1.7,1,0
37,2021-10-01,2754381.5633333283,2732.0000000000005,2814401.6638095216,2479824.949134197,2568338.906158009,2798.6666666666665,2810.666666666667,2786.333333333333,63.1,1.6,1.7,1.8,1,0
38,2021-10-08,2615091.7085714345,2643.8333333333335,2754381.5633333283,2814401.6638095216,2479824.949134197,2732.0000000000005,2798.6666666666665,2810.666666666667,63.8,1.7,1.8,1.9,1,0
39,2021-10-15,2064810.5215567765,2569.999999999999,2615091.7085714345,2754381.5633333283,2814401.6638095216,2643.8333333333335,2732.0000000000005,2798.6666666666665,65.0,1.7,1.9,1.9,1,0
