,date,sf_ww_smooth_raw,sf_hosp_smooth_raw,WW_lag1,WW_lag2,WW_lag3,Hosp_lag1,Hosp_lag2,Hosp_lag3,percent_complete_series,past_12_weeks_infections,past_16_weeks_infections,past_20_weeks_infections,delta_majority,omicron_majority
0,2020-12-18,7060750.180845865,146.66666666666669,,,,,,,0.0,1.2,1.4,1.7,0,0
1,2020-12-25,10854320.271840718,171.66666666666666,7060750.180845865,,,146.66666666666669,,,0.0,1.4,1.6,1.9,0,0
2,2021-01-01,9503332.856989881,198.66666666666666,10854320.271840718,7060750.180845865,,171.66666666666666,146.66666666666669,,0.0,1.6,1.8,2.0,0,0
3,2021-01-08,13740007.606798254,225.33333333333331,9503332.856989881,10854320.271840718,7060750.180845865,198.66666666666666,171.66666666666666,146.66666666666669,0.0,1.9,2.0,2.2,0,0
4,2021-01-15,13725703.420807693,240.33333333333331,13740007.606798254,9503332.856989881,10854320.271840718,225.33333333333331,198.66666666666666,171.66666666666666,0.6,2.1,2.2,2.4,0,0
5,2021-01-22,16090358.000820786,227.6666666666666,13725703.420807693,13740007.606798254,9503332.856989881,240.33333333333331,225.33333333333331,198.66666666666666,1.0,2.2,2.3,2.5,0,0
6,2021-01-29,12976020.290239379,203.66666666666666,16090358.000820786,13725703.420807693,13740007.606798254,227.6666666666666,240.33333333333331,225.33333333333331,1.7,2.2,2.4,2.5,0,0
7,2021-02-05,11280453.280597558,173.5,12976020.290239379,16090358.000820786,13725703.420807693,203.66666666666666,227.6666666666666,240.33333333333331,2.5,2.2,2.5,2.6,0,0
8,2021-02-12,9420921.709529221,151.16666666666669,11280453.280597558,12976020.290239379,16090358.000820786,173.5,203.66666666666666,227.6666666666666,3.5,2.2,2.5,2.6,0,0
9,2021-02-19,6704195.701904341,124.00000000000003,9420921.709529221,11280453.280597558,12976020.290239379,151.16666666666669,173.5,203.66666666666666,4.8,2.1,2.5,2.7,0,0
10,2021-02-26,4178180.8517614817,100.83333333333333,6704195.701904341,9420921.709529221,11280453.280597558,124.00000000000003,151.16666666666669,173.5,6.7,2.0,2.5,2.7,0,0
11,2021-03-05,2541263.5671360423,79.5,4178180.8517614817,6704195.701904341,9420921.709529221,100.83333333333333,124.00000000000003,151.16666666666669,9.5,1.8,2.4,2.7,0,0
12,2021-03-12,2569857.8711905433,62.83333333333337,2541263.5671360423,4178180.8517614817,6704195.701904341,79.5,100.83333333333333,124.00000000000003,11.6,1.6,2.4,2.7,0,0
13,2021-03-19,1892707.340396586,51.5,2569857.8711905433,2541263.5671360423,4178180.8517614817,62.83333333333337,79.5,100.83333333333333,15.0,1.4,2.3,2.7,0,0
14,2021-03-26,1348035.693064977,43.83333333333334,1892707.340396586,2569857.8711905433,2541263.5671360423,51.5,62.83333333333337,79.5,18.7,1.2,2.1,2.6,0,0
15,2021-04-02,810543.3058984978,37.99999999999999,1348035.693064977,1892707.340396586,2569857.8711905433,43.83333333333334,51.5,62.83333333333337,23.2,0.9,1.9,2.6,0,0
16,2021-04-09,909612.2348293167,32.83333333333332,810543.3058984978,1348035.693064977,1892707.340396586,37.99999999999999,43.83333333333334,51.5,29.4,0.8,1.7,2.5,0,0
17,2021-04-16,809943.2166845097,31.833333333333336,909612.2348293167,810543.3058984978,1348035.693064977,32.83333333333332,37.99999999999999,43.83333333333334,35.1,0.6,1.5,2.4,0,0
18,2021-04-23,1013113.5701014993,31.0,809943.2166845097,909612.2348293167,810543.3058984978,31.833333333333336,32.83333333333332,37.99999999999999,38.7,0.5,1.3,2.2,0,0
19,2021-04-30,1019817.1036150608,29.000000000000004,1013113.5701014993,809943.2166845097,909612.2348293167,31.0,31.833333333333336,32.83333333333332,41.8,0.4,1.0,2.0,0,0
