,Date,charlotte_covid_ww_smoothed,charlotte_hospitalizations_smoothed,WW_lag1,WW_lag2,WW_lag3,Hosp_lag1,Hosp_lag2,Hosp_lag3,Percent_Series_City,past_12_weeks_infections,past_16_weeks_infections,past_20_weeks_infections,delta_majority,omicron_majority
0,2021-01-22,25772826.833333332,203.23809523809527,,,,,,,0.7,2.6,2.8,3.2,0,0
1,2021-01-29,18724703.0,198.71428571428575,25772826.833333332,,,203.23809523809527,,,1.2,2.9,3.2,3.5,0,0
2,2021-02-05,15261497.0,194.38095238095238,18724703.0,25772826.833333332,,198.71428571428575,203.23809523809527,,1.9,3.3,3.6,4.0,0,0
3,2021-02-12,14985101.5,192.33333333333334,15261497.0,18724703.0,25772826.833333332,194.38095238095238,198.71428571428575,203.23809523809527,3.1,3.8,4.1,4.4,0,0
4,2021-02-19,12065078.5,182.33333333333334,14985101.5,15261497.0,18724703.0,192.33333333333334,194.38095238095238,198.71428571428575,4.8,4.1,4.5,4.8,0,0
5,2021-02-26,15702699.166666666,181.3809523809524,12065078.5,14985101.5,15261497.0,182.33333333333334,192.33333333333334,194.38095238095238,5.7,4.4,4.9,5.2,0,0
6,2021-03-05,12766901.5,195.80952380952382,15702699.166666666,12065078.5,14985101.5,181.3809523809524,182.33333333333334,192.33333333333334,7.3,4.6,5.2,5.5,0,0
7,2021-03-12,11099553.166666666,209.80952380952377,12766901.5,15702699.166666666,12065078.5,195.80952380952382,181.3809523809524,182.33333333333334,8.6,4.7,5.3,5.7,0,0
8,2021-03-19,5656703.5,213.09523809523807,11099553.166666666,12766901.5,15702699.166666666,209.80952380952377,195.80952380952382,181.3809523809524,10.7,4.7,5.4,5.8,0,0
9,2021-03-26,6000986.333333333,222.38095238095238,5656703.5,11099553.166666666,12766901.5,213.09523809523807,209.80952380952377,195.80952380952382,12.3,4.6,5.4,5.9,0,0
10,2021-04-02,8117154.0,237.42857142857142,6000986.333333333,5656703.5,11099553.166666666,222.38095238095238,213.09523809523807,209.80952380952377,13.6,4.4,5.4,6.0,0,0
11,2021-04-09,8812362.5,261.76190476190476,8117154.0,6000986.333333333,5656703.5,237.42857142857142,222.38095238095238,213.09523809523807,16.2,4.1,5.3,6.0,0,0
12,2021-04-16,7865526.666666667,269.99999999999994,8812362.5,8117154.0,6000986.333333333,261.76190476190476,237.42857142857142,222.38095238095238,20.1,3.8,5.2,5.9,0,0
13,2021-04-23,5766343.5,285.4761904761904,7865526.666666667,8812362.5,8117154.0,269.99999999999994,261.76190476190476,237.42857142857142,23.3,3.5,5.1,5.9,0,0
14,2021-04-30,4765746.0,303.85714285714283,5766343.5,7865526.666666667,8812362.5,285.4761904761904,269.99999999999994,261.76190476190476,27.0,3.1,4.8,5.9,0,0
15,2021-05-07,4906548.0,342.6666666666667,4765746.0,5766343.5,7865526.666666667,303.85714285714283,285.4761904761904,269.99999999999994,31.5,2.7,4.6,5.8,0,0
16,2021-05-14,3228334.5,373.7619047619048,4906548.0,4765746.0,5766343.5,342.6666666666667,303.85714285714283,285.4761904761904,34.5,2.4,4.4,5.8,0,0
17,2021-05-21,2260164.8333333335,410.14285714285717,3228334.5,4906548.0,4765746.0,373.7619047619048,342.6666666666667,303.85714285714283,36.5,2.1,4.1,5.7,0,0
18,2021-05-28,849750.5555555555,447.4285714285714,2260164.8333333335,3228334.5,4906548.0,410.14285714285717,373.7619047619048,342.6666666666667,38.3,1.9,3.7,5.4,0,0
19,2021-06-04,1604895.5555555553,483.0952380952381,849750.5555555555,2260164.8333333335,3228334.5,447.4285714285714,410.14285714285717,373.7619047619048,39.2,1.7,3.3,5.2,0,0
20,2021-06-11,2853994.222222222,485.19047619047615,1604895.5555555553,849750.5555555555,2260164.8333333335,483.0952380952381,447.4285714285714,410.14285714285717,40.6,1.6,2.9,4.9,0,0
21,2021-06-18,3435135.5,439.80952380952385,2853994.222222222,1604895.5555555553,849750.5555555555,485.19047619047615,483.0952380952381,447.4285714285714,41.7,1.5,2.5,4.5,0,0
22,2021-06-25,3472888.6111111105,368.09523809523813,3435135.5,2853994.222222222,1604895.5555555553,439.80952380952385,485.19047619047615,483.0952380952381,42.7,1.4,2.2,4.1,0,0
23,2021-07-02,4152814.444444444,303.1904761904762,3472888.6111111105,3435135.5,2853994.222222222,368.09523809523813,439.80952380952385,485.19047619047615,43.5,1.3,2.0,3.5,0,0
24,2021-07-09,4565333.611111111,258.95238095238096,4152814.444444444,3472888.6111111105,3435135.5,303.1904761904762,368.09523809523813,439.80952380952385,44.1,1.3,1.8,3.1,0,0
25,2021-07-16,6456192.5,227.61904761904762,4565333.611111111,4152814.444444444,3472888.6111111105,258.95238095238096,303.1904761904762,368.09523809523813,44.6,1.2,1.6,2.7,0,0
26,2021-07-23,9851564.5,197.38095238095238,6456192.5,4565333.611111111,4152814.444444444,227.61904761904762,258.95238095238096,303.1904761904762,45.2,1.0,1.5,2.3,0,0
27,2021-07-30,19919218.0,171.47619047619048,9851564.5,6456192.5,4565333.611111111,197.38095238095238,227.61904761904762,258.95238095238096,45.7,0.9,1.4,2.1,0,0
