,date,htx_covid_ww,htx_hospitalizations,WW_lag1,WW_lag2,WW_lag3,Hosp_lag1,Hosp_lag2,Hosp_lag3,percent_complete_series,past_12_weeks_infections,past_16_weeks_infections,past_20_weeks_infections,delta_majority,omicron_majority
0,2020-07-17,853655.39619533,1448.0,,,,,,,0.0,3.3,3.7,4.5,0,0
1,2020-07-24,688469.0821208648,1124.5428571428572,853655.39619533,,,1448.0,,,0.0,3.6,4.0,4.7,0,0
2,2020-07-31,559058.2616197956,954.1428571428572,688469.0821208648,853655.39619533,,1124.5428571428572,1448.0,,0.0,3.7,4.2,4.8,0,0
3,2020-08-07,473841.8515905544,1060.5714285714284,559058.2616197956,688469.0821208648,853655.39619533,954.1428571428572,1124.5428571428572,1448.0,0.0,3.7,4.3,4.7,0,0
4,2020-08-14,417123.8265470474,884.2857142857142,473841.8515905544,559058.2616197956,688469.0821208648,1060.5714285714284,954.1428571428572,1124.5428571428572,0.0,3.7,4.4,4.8,0,0
5,2020-08-21,381215.83181877714,727.4285714285716,417123.8265470474,473841.8515905544,559058.2616197956,884.2857142857142,1060.5714285714284,954.1428571428572,0.0,3.6,4.4,4.8,0,0
6,2020-08-28,363443.1212863304,556.7142857142857,381215.83181877714,417123.8265470474,473841.8515905544,727.4285714285716,884.2857142857142,1060.5714285714284,0.0,3.5,4.4,4.9,0,0
7,2020-09-04,362331.4227005275,504.0,363443.1212863304,381215.83181877714,417123.8265470474,556.7142857142857,727.4285714285716,884.2857142857142,0.0,3.4,4.3,4.9,0,0
8,2020-09-11,376360.4678778748,424.6428571428571,362331.4227005275,363443.1212863304,381215.83181877714,504.0,556.7142857142857,727.4285714285716,0.0,3.2,4.3,5.0,0,0
9,2020-09-18,402569.22670162586,385.2857142857142,376360.4678778748,362331.4227005275,363443.1212863304,424.6428571428571,504.0,556.7142857142857,0.0,2.9,4.1,4.9,0,0
10,2020-09-25,435319.7964773762,326.99999999999994,402569.22670162586,376360.4678778748,362331.4227005275,385.2857142857142,424.6428571428571,504.0,0.0,2.7,4.0,4.9,0,0
11,2020-10-02,468171.54980367486,304.4285714285714,435319.7964773762,402569.22670162586,376360.4678778748,326.99999999999994,385.2857142857142,424.6428571428571,0.0,2.4,3.8,4.8,0,0
12,2020-10-09,500860.8922980499,320.1428571428572,468171.54980367486,435319.7964773762,402569.22670162586,304.4285714285714,326.99999999999994,385.2857142857142,0.0,2.0,3.6,4.6,0,0
13,2020-10-16,536305.8752142258,424.7142857142856,500860.8922980499,468171.54980367486,435319.7964773762,320.1428571428572,304.4285714285714,326.99999999999994,0.0,1.7,3.2,4.5,0,0
14,2020-10-23,574614.297975029,353.5714285714286,536305.8752142258,500860.8922980499,468171.54980367486,424.7142857142856,320.1428571428572,304.4285714285714,0.0,1.4,3.0,4.3,0,0
15,2020-10-30,610868.6982453761,365.4285714285714,574614.297975029,536305.8752142258,500860.8922980499,353.5714285714286,424.7142857142856,320.1428571428572,0.0,1.3,2.6,4.1,0,0
16,2020-11-06,639292.9762062292,352.1428571428571,610868.6982453761,574614.297975029,536305.8752142258,365.4285714285714,353.5714285714286,424.7142857142856,0.0,1.2,2.2,3.8,0,0
17,2020-11-13,664507.3456183873,406.9285714285714,639292.9762062292,610868.6982453761,574614.297975029,352.1428571428571,365.4285714285714,353.5714285714286,0.0,1.1,1.9,3.4,0,0
18,2020-11-20,696553.2001629762,487.8571428571428,664507.3456183873,639292.9762062292,610868.6982453761,406.9285714285714,352.1428571428571,365.4285714285714,0.0,0.9,1.6,3.2,0,0
19,2020-11-27,740442.8124592799,539.0000000000001,696553.2001629762,664507.3456183873,639292.9762062292,487.8571428571428,406.9285714285714,352.1428571428571,0.0,0.8,1.5,2.8,0,0
20,2020-12-04,794502.2149882353,667.0,740442.8124592799,696553.2001629762,664507.3456183873,539.0000000000001,487.8571428571428,406.9285714285714,0.0,0.8,1.3,2.4,0,0
21,2020-12-11,857639.3432913144,710.5714285714284,794502.2149882353,740442.8124592799,696553.2001629762,667.0,539.0000000000001,487.8571428571428,0.0,0.7,1.3,2.1,0,0
22,2020-12-18,936142.6173881117,793.4999999999999,857639.3432913144,794502.2149882353,740442.8124592799,710.5714285714284,667.0,539.0000000000001,0.0,0.6,1.0,1.7,0,0
23,2020-12-25,1033112.1756182596,913.0,936142.6173881117,857639.3432913144,794502.2149882353,793.4999999999999,710.5714285714284,667.0,0.0,0.5,0.9,1.5,0,0
24,2021-01-01,1133517.6499455762,1081.0,1033112.1756182596,936142.6173881117,857639.3432913144,913.0,793.4999999999999,710.5714285714284,0.0,0.4,0.8,1.4,0,0
25,2021-01-08,1202891.3302368713,1269.2857142857144,1133517.6499455762,1033112.1756182596,936142.6173881117,1081.0,913.0,793.4999999999999,0.0,0.4,0.7,1.3,0,0
26,2021-01-15,1205524.0196160804,1380.428571428571,1202891.3302368713,1133517.6499455762,1033112.1756182596,1269.2857142857144,1081.0,913.0,0.0,0.4,0.7,1.2,0,0
27,2021-01-22,1148526.9855092785,1338.142857142857,1205524.0196160804,1202891.3302368713,1133517.6499455762,1380.428571428571,1269.2857142857144,1081.0,0.0,0.4,0.7,1.1,0,0
28,2021-01-29,1070034.800777164,1243.7142857142858,1148526.9855092785,1205524.0196160804,1202891.3302368713,1338.142857142857,1380.428571428571,1269.2857142857144,0.0,0.7,1.0,1.3,0,0
29,2021-02-05,994816.7104525584,1185.142857142857,1070034.800777164,1148526.9855092785,1205524.0196160804,1243.7142857142858,1338.142857142857,1380.428571428571,0.0,1.0,1.2,1.6,0,0
