,date,city_name,ww_raw,hosp_raw,WW_lag1,WW_lag2,WW_lag3,Hosp_lag1,Hosp_lag2,Hosp_lag3,percent_complete_series,past_12_weeks_infections,past_16_weeks_infections,past_20_weeks_infections,theme1_socioeconomic_status,theme2_minority_status_and_language,theme3_housing_type_and _transport,theme4_epidemiological_factors,theme5_healthcare_system,theme6_high_risk_environments,theme7_population_density,ccvi_std,TARGET0,TARGET1,TARGET2
0,2021-01-08,Houston,14.00023865857143,7.146209591533439,13.94083632,13.848086334285714,13.749523112857144,6.985641817639208,6.816735880594968,6.676453539966464,0.0,0.4,0.7,1.3,0.7516457694325631,0.9293759652921968,0.4654815233134646,0.1735362642291349,0.76631024717148,0.7198191417453285,0.8971199696578803,0.1746635798143106,7.146209591533439,7.230149288943995,7.199038004153818
0,2021-01-08,San Francisco,16.43582239838265,5.417580787374854,16.067153122096915,16.200073740433904,15.770061861734632,5.29162837839724,5.145554611995626,4.988162438244197,0.0,1.9,2.0,2.2,0.4314689626774069,0.8913122527643952,0.3392810611003368,0.1151643532376211,0.3344377681485115,0.2219338198392173,0.9854717064259926,0.2208883187831757,5.417580787374854,5.482026848616839,5.42788257090268
0,2021-01-08,Denver,11.492996189654527,5.507072180410147,11.932020758617007,12.09630046834393,12.29104732485849,5.650482155008883,5.738873794467471,5.888482153855123,3.7,1.4,2.0,2.6,0.4693030502370353,0.7700468367899331,0.3172331197099186,0.0594324395369902,0.2606925331433364,0.6769028903775698,0.9079494669591008,0.216895240120463,5.507072180410147,5.456236447229389,5.419269976965699
1,2021-01-15,Denver,11.23290033649326,5.456236447229389,11.492996189654527,11.932020758617007,12.09630046834393,5.507072180410147,5.650482155008883,5.738873794467471,5.9,1.3,1.9,2.4,0.4693030502370353,0.7700468367899331,0.3172331197099186,0.0594324395369902,0.2606925331433364,0.6769028903775698,0.9079494669591008,0.216895240120463,5.456236447229389,5.419269976965699,5.231108616854587
1,2021-01-15,San Francisco,16.434780795107248,5.482026848616839,16.43582239838265,16.067153122096915,16.200073740433904,5.417580787374854,5.29162837839724,5.145554611995626,0.6,2.1,2.2,2.4,0.4314689626774069,0.8913122527643952,0.3392810611003368,0.1151643532376211,0.3344377681485115,0.2219338198392173,0.9854717064259926,0.2208883187831757,5.482026848616839,5.42788257090268,5.316484670503486
1,2021-01-15,Houston,14.00242490142857,7.230149288943995,14.00023865857143,13.94083632,13.848086334285714,7.146209591533439,6.985641817639208,6.816735880594968,0.0,0.4,0.7,1.2,0.7516457694325631,0.9293759652921968,0.4654815233134646,0.1735362642291349,0.76631024717148,0.7198191417453285,0.8971199696578803,0.1746635798143106,7.230149288943995,7.199038004153818,7.12585757305693
2,2021-01-22,Denver,11.18601318598677,5.419269976965699,11.23290033649326,11.492996189654527,11.932020758617007,5.456236447229389,5.507072180410147,5.650482155008883,7.5,1.1,1.8,2.3,0.4693030502370353,0.7700468367899331,0.3172331197099186,0.0594324395369902,0.2606925331433364,0.6769028903775698,0.9079494669591008,0.216895240120463,5.419269976965699,5.231108616854587,5.139154144897234
2,2021-01-22,Houston,13.953990797142856,7.199038004153818,14.00242490142857,14.00023865857143,13.94083632,7.230149288943995,7.146209591533439,6.985641817639208,0.0,0.4,0.7,1.1,0.7516457694325631,0.9293759652921968,0.4654815233134646,0.1735362642291349,0.76631024717148,0.7198191417453285,0.8971199696578803,0.1746635798143106,7.199038004153818,7.12585757305693,7.07761860085405
2,2021-01-22,San Francisco,16.593730768616677,5.42788257090268,16.434780795107248,16.43582239838265,16.067153122096915,5.482026848616839,5.417580787374854,5.29162837839724,1.0,2.2,2.3,2.5,0.4314689626774069,0.8913122527643952,0.3392810611003368,0.1151643532376211,0.3344377681485115,0.2219338198392173,0.9854717064259926,0.2208883187831757,5.42788257090268,5.316484670503486,5.156177599386914
3,2021-01-29,Denver,11.084401150162668,5.231108616854587,11.18601318598677,11.23290033649326,11.492996189654527,5.419269976965699,5.456236447229389,5.507072180410147,8.9,1.0,1.6,2.2,0.4693030502370353,0.7700468367899331,0.3172331197099186,0.0594324395369902,0.2606925331433364,0.6769028903775698,0.9079494669591008,0.216895240120463,5.231108616854587,5.139154144897234,5.046186278360574
