,date,city_name,ww_raw,hosp_raw,WW_lag1,WW_lag2,WW_lag3,Hosp_lag1,Hosp_lag2,Hosp_lag3,percent_complete_series,past_12_weeks_infections,past_16_weeks_infections,past_20_weeks_infections,theme1_socioeconomic_status,theme2_minority_status_and_language,theme3_housing_type_and _transport,theme4_epidemiological_factors,theme5_healthcare_system,theme6_high_risk_environments,theme7_population_density,ccvi_std,TARGET0,TARGET1,TARGET2
0,2021-01-08,Houston,37515.13622177756,39.585809024334786,35351.54670964641,32220.154079141932,29195.918975831948,33.71365412348242,28.474159310582284,24.747256750215815,0.0,0.4,0.7,1.3,0.7516457694325631,0.9293759652921968,0.4654815233134646,0.1735362642291349,0.76631024717148,0.7198191417453285,0.8971199696578803,0.1746635798143106,39.585809024334786,43.05207344987585,41.7332890411867
0,2021-01-08,San Francisco,1586728.7199815984,26.022028648097866,1097467.4549866882,1253482.691136695,815392.204806361,22.942498630571492,19.82447448782604,16.937415096395064,0.0,1.9,2.0,2.2,0.4314689626774069,0.8913122527643952,0.3392810611003368,0.1151643532376211,0.3344377681485115,0.2219338198392173,0.9854717064259926,0.2208883187831757,26.022028648097866,27.754264282956452,26.29148752463142
0,2021-01-08,Denver,7003.379993098556,17.605725443151417,10863.596809903785,12803.225960861808,15555.962783639718,20.32057933757361,22.198523384843096,25.7809057793626,3.7,1.4,2.0,2.6,0.4693030502370353,0.7700468367899331,0.3172331197099186,0.0594324395369902,0.2606925331433364,0.6769028903775698,0.9079494669591008,0.216895240120463,17.605725443151417,16.733093834229997,16.12582388416188
1,2021-01-15,Denver,5399.449670538191,16.733093834229997,7003.379993098556,10863.596809903785,12803.225960861808,17.605725443151417,20.32057933757361,22.198523384843096,5.9,1.3,1.9,2.4,0.4693030502370353,0.7700468367899331,0.3172331197099186,0.0594324395369902,0.2606925331433364,0.6769028903775698,0.9079494669591008,0.216895240120463,16.733093834229997,16.12582388416188,13.359938901498671
1,2021-01-15,San Francisco,1585076.8386015652,27.754264282956452,1586728.7199815984,1097467.4549866882,1253482.691136695,26.022028648097866,22.942498630571492,19.82447448782604,0.6,2.1,2.2,2.4,0.4314689626774069,0.8913122527643952,0.3392810611003368,0.1151643532376211,0.3344377681485115,0.2219338198392173,0.9854717064259926,0.2208883187831757,27.754264282956452,26.29148752463142,23.519910508857688
1,2021-01-15,Houston,37597.2431405058,43.05207344987585,37515.13622177756,35351.54670964641,32220.154079141932,39.585809024334786,33.71365412348242,28.474159310582284,0.0,0.4,0.7,1.2,0.7516457694325631,0.9293759652921968,0.4654815233134646,0.1735362642291349,0.76631024717148,0.7198191417453285,0.8971199696578803,0.1746635798143106,43.05207344987585,41.7332890411867,38.78830088529641
2,2021-01-22,Denver,5152.128266844417,16.12582388416188,5399.449670538191,7003.379993098556,10863.596809903785,16.733093834229997,17.605725443151417,20.32057933757361,7.5,1.1,1.8,2.3,0.4693030502370353,0.7700468367899331,0.3172331197099186,0.0594324395369902,0.2606925331433364,0.6769028903775698,0.9079494669591008,0.216895240120463,16.12582388416188,13.359938901498671,12.186223871955242
2,2021-01-22,Houston,35819.64989911723,41.7332890411867,37597.2431405058,37515.13622177756,35351.54670964641,43.05207344987585,39.585809024334786,33.71365412348242,0.0,0.4,0.7,1.1,0.7516457694325631,0.9293759652921968,0.4654815233134646,0.1735362642291349,0.76631024717148,0.7198191417453285,0.8971199696578803,0.1746635798143106,41.7332890411867,38.78830088529641,36.96160626515265
2,2021-01-22,San Francisco,1858152.767110248,26.29148752463142,1585076.8386015652,1586728.7199815984,1097467.4549866882,27.754264282956452,26.022028648097866,22.942498630571492,1.0,2.2,2.3,2.5,0.4314689626774069,0.8913122527643952,0.3392810611003368,0.1151643532376211,0.3344377681485115,0.2219338198392173,0.9854717064259926,0.2208883187831757,26.29148752463142,23.519910508857688,20.036192176530978
3,2021-01-29,Denver,4654.329441804606,13.359938901498671,5152.128266844417,5399.449670538191,7003.379993098556,16.12582388416188,16.733093834229997,17.605725443151417,8.9,1.0,1.6,2.2,0.4693030502370353,0.7700468367899331,0.3172331197099186,0.0594324395369902,0.2606925331433364,0.6769028903775698,0.9079494669591008,0.216895240120463,13.359938901498671,12.186223871955242,11.104364801245648
3,2021-01-29,San Francisco,1498501.6496933806,23.519910508857688,1858152.767110248,1585076.8386015652,1586728.7199815984,26.29148752463142,27.754264282956452,26.022028648097866,1.7,2.2,2.4,2.5,0.4314689626774069,0.8913122527643952,0.3392810611003368,0.1151643532376211,0.3344377681485115,0.2219338198392173,0.9854717064259926,0.2208883187831757,23.519910508857688,20.036192176530978,17.45708578685264
3,2021-01-29,Houston,33371.677311277264,38.78830088529641,35819.64989911723,37597.2431405058,37515.13622177756,41.7332890411867,43.05207344987585,39.585809024334786,0.0,0.7,1.0,1.3,0.7516457694325631,0.9293759652921968,0.4654815233134646,0.1735362642291349,0.76631024717148,0.7198191417453285,0.8971199696578803,0.1746635798143106,38.78830088529641,36.96160626515265,32.457244653042075
4,2021-02-05,Denver,4510.767253432326,12.186223871955242,4654.329441804606,5152.128266844417,5399.449670538191,13.359938901498671,16.12582388416188,16.733093834229997,9.9,0.8,1.5,2.1,0.4693030502370353,0.7700468367899331,0.3172331197099186,0.0594324395369902,0.2606925331433364,0.6769028903775698,0.9079494669591008,0.216895240120463,12.186223871955242,11.104364801245648,10.706322312965703
4,2021-02-05,San Francisco,1302693.5433339023,20.036192176530978,1498501.6496933806,1858152.767110248,1585076.8386015652,23.519910508857688,26.29148752463142,27.754264282956452,2.5,2.2,2.5,2.6,0.4314689626774069,0.8913122527643952,0.3392810611003368,0.1151643532376211,0.3344377681485115,0.2219338198392173,0.9854717064259926,0.2208883187831757,20.036192176530978,17.45708578685264,14.319814581497651
0,2021-02-05,NYC,118072.00603306985,103.20164879952513,109209.0879928031,107887.68099527701,101789.05785167814,109.01015674104083,112.2031832023629,111.05976081548268,1.9,4.3,4.7,4.9,0.6665990325343041,0.9007367885528166,0.5331927422204699,0.2946567623811354,0.8450799576909643,0.1295490929069606,0.988377052718578,0.2370603351584131,103.20164879952513,95.03240144019877,86.63563636103407
4,2021-02-05,Houston,31025.815441681876,36.96160626515265,33371.677311277264,35819.64989911723,37597.2431405058,38.78830088529641,41.7332890411867,43.05207344987585,0.0,1.0,1.2,1.6,0.7516457694325631,0.9293759652921968,0.4654815233134646,0.1735362642291349,0.76631024717148,0.7198191417453285,0.8971199696578803,0.1746635798143106,36.96160626515265,32.457244653042075,28.957565082010568
0,2021-02-12,Charlotte,1590037.4773061755,32.398275251643696,1619365.220168563,1986838.6958491656,2734700.232836076,39.295287996262175,46.89968666340562,51.70991093657542,3.1,3.8,4.1,4.4,0.5487411375258293,0.813481228627227,0.2865524130749503,0.2435302525494415,0.967430426849942,0.2957094924974624,0.8147694548371467,0.2079029349264265,32.398275251643696,27.65878957072639,24.36944503098527
5,2021-02-12,San Francisco,1087950.4198972923,17.45708578685264,1302693.5433339023,1498501.6496933806,1858152.767110248,20.036192176530978,23.519910508857688,26.29148752463142,3.5,2.2,2.5,2.6,0.4314689626774069,0.8913122527643952,0.3392810611003368,0.1151643532376211,0.3344377681485115,0.2219338198392173,0.9854717064259926,0.2208883187831757,17.45708578685264,14.319814581497651,11.644472878771605
1,2021-02-12,NYC,118696.9423038008,95.03240144019877,118072.00603306985,109209.0879928031,107887.68099527701,103.20164879952513,109.01015674104083,112.2031832023629,3.2,4.5,5.0,5.2,0.6665990325343041,0.9007367885528166,0.5331927422204699,0.2946567623811354,0.8450799576909643,0.1295490929069606,0.988377052718578,0.2370603351584131,95.03240144019877,86.63563636103407,77.21990303233669
5,2021-02-12,Denver,4207.519859513455,11.104364801245648,4510.767253432326,4654.329441804606,5152.128266844417,12.186223871955242,13.359938901498671,16.12582388416188,10.4,0.6,1.4,2.0,0.4693030502370353,0.7700468367899331,0.3172331197099186,0.0594324395369902,0.2606925331433364,0.6769028903775698,0.9079494669591008,0.216895240120463,11.104364801245648,10.706322312965703,11.186014542431279
5,2021-02-12,Houston,28955.460487813994,32.457244653042075,31025.815441681876,33371.677311277264,35819.64989911723,36.96160626515265,38.78830088529641,41.7332890411867,0.0,1.2,1.4,1.7,0.7516457694325631,0.9293759652921968,0.4654815233134646,0.1735362642291349,0.76631024717148,0.7198191417453285,0.8971199696578803,0.1746635798143106,32.457244653042075,28.957565082010568,27.574178058706575
6,2021-02-19,Denver,3688.0325668157693,10.706322312965703,4207.519859513455,4510.767253432326,4654.329441804606,11.104364801245648,12.186223871955242,13.359938901498671,11.2,0.6,1.3,1.9,0.4693030502370353,0.7700468367899331,0.3172331197099186,0.0594324395369902,0.2606925331433364,0.6769028903775698,0.9079494669591008,0.216895240120463,10.706322312965703,11.186014542431279,9.032502618660292
